City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
193,Port-Gentil,GA,82.36,thunderstorm with light rain,-0.7193,8.7815,Fengshui Residence
194,Padang,ID,78.15,broken clouds,-0.9492,100.3543,Mercure Padang
197,Samarai,PG,81.61,overcast clouds,-10.6167,150.6667,Nuli Sapi
198,Mailsi,PK,87.89,overcast clouds,29.8003,72.1758,Mian Lodge
204,Bairiki,KI,80.6,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
205,Warri,NG,77.41,overcast clouds,5.5167,5.75,BON Hotel Delta
215,Buchanan,LR,78.66,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
217,Sevilla,ES,82.99,clear sky,37.3824,-5.9761,Hotel Sevilla Center
220,Bambous Virieux,MU,77.25,moderate rain,-20.3428,57.7575,Casa Tia Villa
221,Vila Velha,BR,80.55,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
228,Valera,VE,77.54,overcast clouds,9.3178,-70.6036,Hotel Camino Real
231,Caravelas,BR,76.59,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
233,Mana,GF,81.54,scattered clouds,5.6592,-53.7767,LE SAMANA
234,Santiago Del Estero,AR,77.52,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
237,Banjar,ID,78.17,overcast clouds,-8.19,114.9675,The Hamsa Resort
241,Lazaro Cardenas,MX,83.82,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
243,Ahuimanu,US,78.51,few clouds,21.4447,-157.8378,Paradise Bay Resort
244,Cozumel,MX,86.07,scattered clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
246,Patu,BR,85.46,overcast clouds,-6.11,-37.6367,Pousada Cidade do Sol
251,Camocim,BR,81.54,moderate rain,-2.9022,-40.8411,Ilha Praia Hotel
253,Dabou,CI,77.79,overcast clouds,5.3256,-4.3769,Résidence N'Da
254,Berbera,SO,81.97,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
255,Salalah,OM,82.49,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
264,Bilma,NE,86.92,few clouds,18.6853,12.9164,Expeditions Ténére voyages
265,Kahului,US,77.02,few clouds,20.8947,-156.47,Maui Seaside Hotel
268,Machiques,VE,85.23,broken clouds,10.0644,-72.545,hotel el markes
269,Douentza,ML,87.08,few clouds,14.9951,-2.9517,Ogomono Doumbo
272,Ixtapa,MX,81.63,scattered clouds,20.7,-105.2,hotel la terminal
273,Kirakira,SB,79.21,light rain,-10.4544,161.9205,SanBiz Lodge
280,Harper,LR,77.65,overcast clouds,4.375,-7.7169,Screensaver
283,Umm Lajj,SA,83.21,overcast clouds,25.0213,37.2685,Moon light Furnished Units
290,Cogtong,PH,78.73,overcast clouds,9.8374,124.5291,TORREON BOARDING HOUSE
295,Mount Pleasant,US,84.18,clear sky,32.7941,-79.8626,Best Western Patriots Point
296,Capitao Poco,BR,80.15,light rain,-1.7464,-47.0594,Hotel New Tokyo
297,Bathsheba,BB,84.81,broken clouds,13.2167,-59.5167,Atlantis Hotel
299,Columbia,US,83.79,clear sky,34.0007,-81.0348,Hampton Inn Columbia-Downtown Historic District
303,Guanica,PR,88.21,clear sky,17.9716,-66.908,Copamarina Beach Resort & Spa
304,Rio Tercero,AR,76.44,clear sky,-32.173,-64.1141,Hospedaje Las Violetas
306,Ewa Beach,US,78.75,clear sky,21.3156,-158.0072,Base Lodging
308,Sur,OM,87.58,clear sky,22.5667,59.5289,Sur Plaza Hotel
309,Coahuayana,MX,89.91,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
311,Nabire,ID,75.88,moderate rain,-3.3667,135.4833,Hotel Nusantara I
325,Chlorakas,CY,79.68,clear sky,34.8042,32.4083,Elysium Hotel
332,Dalbandin,PK,82.6,broken clouds,28.8947,64.4101,Sanjrani House
340,Saint George,US,76.62,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
342,Wanning,CN,75.67,broken clouds,18.8003,110.3967,Paradise Hotel
350,Vila Do Maio,CV,77.79,clear sky,15.1333,-23.2167,Hotel Marilu
353,Kapoeta,SS,83.46,light rain,4.7717,33.5903,Eastgate Hotel
356,Buritis,BR,85.95,broken clouds,-15.6178,-46.4233,Hotel Rainha do Vale
358,Henderson,US,80.62,clear sky,36.0397,-114.9819,Hawthorn Suites By Wyndham Las Vegas/Henderson
365,Labuhan,ID,80.11,overcast clouds,-6.8844,112.2051,DoubleFAG
370,Arraial Do Cabo,BR,75.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
374,Auki,SB,76.77,overcast clouds,-8.7676,160.7034,Auki Motel
381,Eyl,SO,83.05,broken clouds,7.9803,49.8164,Amiin Hotel
385,Gwadar,PK,81.64,clear sky,25.1216,62.3254,Sadaf Resort
389,Tautira,PF,80.64,light rain,-17.7333,-149.15,Pension Oaoa
398,Vao,NC,77.16,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
401,Biu,NG,84.04,light rain,10.6129,12.1946,Emir's Palace
405,Cam Ranh,VN,78.76,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
406,Denpasar,ID,82.06,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
408,Dakar,SN,76.08,broken clouds,14.6937,-17.4441,Novotel Dakar
410,Mbuji-Mayi,CD,77.76,overcast clouds,-6.15,23.6,HOTEL METROPOLE DU KASAI
411,Buenaventura,CO,77.76,moderate rain,3.8801,-77.0312,Hotel Victoria
413,Hambantota,LK,77.34,few clouds,6.1241,81.1185,Bungalow 63
415,Ternate,ID,80.29,scattered clouds,0.8,127.4,Sahid Bela Ternate Hotel
420,Tra Vinh,VN,80.31,broken clouds,9.9347,106.3453,Hồng Ân
424,Tual,ID,82.76,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
425,Tarauaca,BR,83.5,scattered clouds,-8.1614,-70.7656,Flat Temporada
429,Kingsland,US,82.98,overcast clouds,30.8,-81.6898,Microtel Inn & Suites by Wyndham Kingsland
430,Morgan City,US,84.99,broken clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
444,Isangel,VU,79.18,light rain,-19.55,169.2667,Tanna Lodge
448,Altinopolis,BR,79.95,few clouds,-21.0256,-47.3739,Hotel Vila das Palmeiras
449,San Patricio,US,88.52,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
454,Kagoro,NG,75.47,overcast clouds,9.6,8.3833,Palm Garden Hotel
465,Saint-Pierre,RE,76.68,broken clouds,-21.3393,55.4781,Lindsey Hôtel
466,Bac Lieu,VN,82.78,scattered clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
468,Kimbe,PG,75.69,light rain,-5.5502,150.1429,Kimbe Bay Hotel
469,Mangaluru,IN,79.66,few clouds,12.8667,74.8833,Goldfinch Hotel Mangaluru
470,Puerto Baquerizo Moreno,EC,79.79,broken clouds,-0.9,-89.6,Hotel los Algarrobos
474,Saint-Georges,GD,83.88,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
477,Nador,MA,75.27,clear sky,35.174,-2.9287,Hôtel La Giralda
482,Lubao,PH,78.87,few clouds,14.9167,120.55,Hacienda Gracia
485,Quelimane,MZ,76.08,broken clouds,-17.8786,36.8883,Hotel Flamingo
486,Nandyal,IN,88.09,overcast clouds,15.4833,78.4833,Hotel Shobha
487,Veraval,IN,80.33,clear sky,20.9,70.3667,Lords Inn Somnath
490,Cairns,AU,75.15,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
494,Duki,PK,78.31,overcast clouds,30.1541,68.5728,Bhari Dada Kaka Hotel
495,Pirenopolis,BR,86.49,overcast clouds,-15.8525,-48.9592,Hotel Pousada Mandala
498,Noumea,NC,75.99,clear sky,-22.2763,166.4572,Hôtel Le Lagon
500,Rio Grande,BR,78.91,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
505,Iralaya,HN,84.13,clear sky,15.0,-83.2333,Iglesia morava renovada
