City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
157,Guhagar,IN,17.4842,73.1929,79.0,74,0,1.74,clear sky
158,Port Elizabeth,ZA,-33.918,25.5701,65.32,99,20,9.22,few clouds
159,Portland,US,45.5234,-122.6762,54.68,58,75,7.0,broken clouds
160,Honiara,SB,-9.4333,159.95,76.82,84,97,5.26,overcast clouds
161,Syntul,RU,55.0033,41.2971,34.29,90,99,6.89,overcast clouds
162,Nome,US,64.5011,-165.4064,29.1,93,100,18.41,mist
163,Malanje,AO,-9.5402,16.341,66.06,96,100,2.26,moderate rain
164,Airai,TL,-8.9266,125.4092,60.26,89,100,1.61,overcast clouds
165,Johnstown,US,40.3267,-78.922,46.45,49,75,11.5,broken clouds
166,Snasa,NO,64.2457,12.3778,49.41,98,97,2.89,overcast clouds
167,Grindavik,IS,63.8424,-22.4338,45.07,65,75,8.05,broken clouds
168,Codrington,AU,-38.2667,141.9667,58.33,92,100,6.87,overcast clouds
169,Saint-Philippe,RE,-21.3585,55.7679,76.59,89,67,12.17,light rain
170,Norman Wells,CA,65.282,-126.8329,10.44,52,20,4.61,few clouds
171,Metro,ID,-5.1131,105.3067,75.07,89,86,2.13,overcast clouds
172,Beya,RU,53.0533,90.9139,50.95,66,100,6.93,overcast clouds
173,Haines Junction,CA,60.7522,-137.5108,28.35,40,50,2.3,scattered clouds
174,Avera,US,33.194,-82.5271,79.56,47,100,2.24,overcast clouds
175,Benton Harbor,US,42.1167,-86.4542,47.26,60,75,9.22,broken clouds
176,Margate,GB,51.3813,1.3862,53.87,71,100,1.99,overcast clouds
177,Busselton,AU,-33.65,115.3333,57.2,66,85,1.25,overcast clouds
178,Kodiak,US,57.79,-152.4072,36.91,81,100,5.75,overcast clouds
179,Kushima,JP,31.4583,131.2333,56.75,78,100,3.29,overcast clouds
180,Kade,DE,52.3833,12.2667,49.98,67,5,4.41,clear sky
181,Torbay,CA,47.6666,-52.7314,42.76,92,100,28.77,light intensity drizzle
182,Mutare,ZW,-18.9707,32.6709,62.73,97,75,2.13,light rain
183,Kondinskoye,RU,59.6481,67.41,21.4,92,28,5.5,scattered clouds
184,Mitu,CO,1.1983,-70.1733,83.41,76,77,2.93,broken clouds
185,Sisimiut,GL,66.9395,-53.6735,20.77,67,100,5.46,overcast clouds
186,Vestmanna,FO,62.1564,-7.1664,47.32,93,100,10.36,overcast clouds
187,Saint-Augustin,CA,51.226,-58.6502,36.39,100,100,16.64,overcast clouds
188,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,81.75,77,37,8.19,scattered clouds
189,Talnakh,RU,69.4865,88.3972,6.21,97,100,6.6,light snow
190,Alice Springs,AU,-23.7,133.8833,74.75,32,40,6.91,scattered clouds
191,Brindisi,IT,40.5833,17.6667,55.76,60,100,19.51,overcast clouds
192,Rincon,US,32.296,-81.2354,88.86,37,75,6.91,broken clouds
193,Port-Gentil,GA,-0.7193,8.7815,82.36,83,100,4.61,thunderstorm with light rain
194,Padang,ID,-0.9492,100.3543,78.15,91,79,3.83,broken clouds
195,Ponta Do Sol,PT,32.6667,-17.1,74.12,41,100,11.27,overcast clouds
196,San Cristobal,VE,7.7669,-72.225,69.98,91,100,4.03,overcast clouds
197,Samarai,PG,-10.6167,150.6667,81.61,79,100,9.1,overcast clouds
198,Mailsi,PK,29.8003,72.1758,87.89,16,91,1.83,overcast clouds
199,Faya,SA,18.3851,42.4509,68.52,32,62,3.0,broken clouds
200,Ust-Tsilma,RU,65.441,52.1498,32.95,98,100,6.24,overcast clouds
201,Ponta Delgada,PT,37.7333,-25.6667,63.32,72,40,19.57,scattered clouds
202,Nokaneng,BW,-19.6667,22.2667,74.73,57,28,4.27,scattered clouds
203,Baruun-Urt,MN,46.6806,113.2792,40.23,36,6,8.12,clear sky
204,Bairiki,KI,1.3292,172.9752,80.6,89,40,6.91,scattered clouds
205,Warri,NG,5.5167,5.75,77.41,92,100,5.59,overcast clouds
206,Ponazyrevo,RU,58.3578,46.3142,26.33,91,62,2.26,broken clouds
207,Rio Gallegos,AR,-51.6226,-69.2181,59.05,44,0,13.8,clear sky
208,Port Lincoln,AU,-34.7333,135.8667,61.07,74,98,9.17,light rain
209,Tuatapere,NZ,-46.1333,167.6833,44.19,93,6,4.63,clear sky
210,Kokkola,FI,63.8385,23.1307,39.36,84,0,1.14,clear sky
211,Constitucion,CL,-35.3333,-72.4167,61.68,69,41,5.46,scattered clouds
212,Port Hardy,CA,50.6996,-127.4199,48.38,57,20,17.27,few clouds
213,Nakamura,JP,32.9833,132.9333,52.11,87,100,2.37,overcast clouds
